[tensor(32575.3496), tensor(34834.6211)]
[tensor(31485.6562), tensor(35924.2109)]
[tensor(32037.6973), tensor(35372.1602)]
[tensor(30696.9883), tensor(36713.0156)]
[tensor(31835.4785), tensor(35574.6875)]
[tensor(30435.0371), tensor(36975.0977)]
[tensor(33380.2188), tensor(34029.7656)]
[tensor(32369.8848), tensor(35040.3320)]
[tensor(34616.), tensor(32793.8242)]
[tensor(35305.2773), tensor(32104.5566)]
[tensor(35291.7695), tensor(32118.0137)]
[tensor(35602.0312), tensor(31808.0098)]
[tensor(35820.2695), tensor(31589.9258)]
[tensor(35929.2773), tensor(31480.8730)]
[tensor(36259.2266), tensor(31150.8320)]
[tensor(36397.2070), tensor(31012.8262)]
[tensor(36443.2109), tensor(30966.8047)]
[tensor(36550.2383), tensor(30859.8750)]
[tensor(36570.7578), tensor(30839.3301)]
[tensor(36581.1602), tensor(30828.9531)]
[tensor(36609.8984), tensor(30800.2070)]
[tensor(36625.3438), tensor(30784.8359)]
[tensor(36634.0859), tensor(30776.1055)]
[tensor(36645.4883), tensor(30764.5840)]
[tensor(36659.4648), tensor(30750.5723)]
[tensor(36662.8438), tensor(30747.1875)]
[tensor(36666.7773), tensor(30743.2578)]
[tensor(36669.2734), tensor(30740.7520)]
[tensor(36672.3242), tensor(30737.6992)]
[tensor(36679.2461), tensor(30730.7793)]
[tensor(21403.9629), tensor(23535.9766)]
[tensor(20988.0879), tensor(23951.6719)]
[tensor(20933.9043), tensor(24006.1035)]
[tensor(20349.8809), tensor(24590.0898)]
[tensor(21041.2754), tensor(23898.6738)]
[tensor(20859.5957), tensor(24080.3457)]
[tensor(21020.8770), tensor(23919.0156)]
[tensor(20674.4668), tensor(24265.4570)]
[tensor(20570.6758), tensor(24369.2988)]
[tensor(20642.3711), tensor(24297.5469)]
[tensor(20794.4121), tensor(24145.4824)]
[tensor(21032.8008), tensor(23907.1445)]
[tensor(21242.2832), tensor(23697.6758)]
[tensor(21744.2812), tensor(23195.6680)]
[tensor(22042.3691), tensor(22897.5996)]
[tensor(21366.7637), tensor(23573.1758)]
[tensor(21369.2598), tensor(23570.6992)]
[tensor(23596.4668), tensor(21343.6895)]
[tensor(23594.5000), tensor(21345.5312)]
[tensor(23769.7949), tensor(21170.2695)]
[tensor(23450.4277), tensor(21489.6602)]
[tensor(23109.1602), tensor(21830.8945)]
[tensor(23231.4473), tensor(21708.5527)]
[tensor(22808.7500), tensor(22131.2988)]
[tensor(23481.5000), tensor(21458.5391)]
[tensor(23008.1699), tensor(21931.8770)]
[tensor(23196.9727), tensor(21743.0391)]
[tensor(23079.3203), tensor(21860.6855)]
[tensor(22815.), tensor(22124.9551)]
[tensor(24441.6465), tensor(20498.3965)]
[tensor(22331.4160), tensor(22608.6230)]
[tensor(22731.7891), tensor(22208.2207)]
[tensor(22101.8008), tensor(22838.2109)]
[tensor(21688.7754), tensor(23251.2266)]
[tensor(22329.4160), tensor(22610.5664)]
[tensor(22493.2891), tensor(22446.7031)]
[tensor(22303.8438), tensor(22636.1816)]
[tensor(22063.0801), tensor(22876.8730)]
[tensor(22141.8301), tensor(22798.1465)]
[tensor(22125.5215), tensor(22814.4980)]
[tensor(22019.0605), tensor(22920.9160)]
[tensor(21034.7148), tensor(23905.3203)]
[tensor(20907.2148), tensor(24032.8164)]
[tensor(21897.5469), tensor(23042.5078)]
[tensor(21268.7734), tensor(23671.2637)]
[tensor(20807.0566), tensor(24132.9922)]
[tensor(21027.4512), tensor(23912.5723)]
[tensor(20862.6328), tensor(24077.4160)]
[tensor(20550.9004), tensor(24389.1309)]
[tensor(20865.7617), tensor(24074.2285)]
[tensor(21035.8594), tensor(23904.2051)]
[tensor(19891.2969), tensor(25048.7637)]
[tensor(20729.8867), tensor(24210.2129)]
[tensor(20670.1738), tensor(24269.8730)]
[tensor(21575.4531), tensor(23364.5781)]
[tensor(20832.3125), tensor(24107.6953)]
[tensor(22353.5566), tensor(22586.4414)]
[tensor(22197.3613), tensor(22742.7070)]
[tensor(21945.5469), tensor(22994.4609)]
[tensor(21013.4277), tensor(23926.5391)]
